id,bairro,titulo,preco,tags,descricao_longa
57,Moema,Imóvel 57 em Pinheiros,1464455,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
58,Vila Mariana,Imóvel 58 em Vila Mariana,1084391,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
59,Vila Mariana,Imóvel 59 em Vila Mariana,2006042,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
60,Itaim Bibi,Imóvel 60 em Vila Mariana,2821480,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
61,Itaim Bibi,Imóvel 61 em Jardins,348632,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
62,Itaim Bibi,Imóvel 62 em Jardins,1338627,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
63,Vila Mariana,Imóvel 63 em Vila Mariana,855715,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
64,Pinheiros,Imóvel 64 em Itaim Bibi,2158252,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
65,Jardins,Imóvel 65 em Moema,896289,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
66,Jardins,Imóvel 66 em Itaim Bibi,2307472,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
67,Jardins,Imóvel 67 em Moema,1332667,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
68,Itaim Bibi,Imóvel 68 em Itaim Bibi,1180052,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
69,Moema,Imóvel 69 em Moema,2448893,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
70,Moema,Imóvel 70 em Vila Mariana,1695451,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
71,Itaim Bibi,Imóvel 71 em Moema,1437249,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
72,Moema,Imóvel 72 em Itaim Bibi,2608710,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
73,Pinheiros,Imóvel 73 em Jardins,2618146,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
74,Itaim Bibi,Imóvel 74 em Itaim Bibi,341514,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
75,Itaim Bibi,Imóvel 75 em Pinheiros,827230,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
76,Vila Mariana,Imóvel 76 em Itaim Bibi,2271193,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
77,Pinheiros,Imóvel 77 em Moema,2492536,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
78,Pinheiros,Imóvel 78 em Pinheiros,1398012,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
79,Moema,Imóvel 79 em Itaim Bibi,1707164,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
80,Vila Mariana,Imóvel 80 em Vila Mariana,2504031,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
81,Vila Mariana,Imóvel 81 em Itaim Bibi,2797402,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
82,Vila Mariana,Imóvel 82 em Jardins,930290,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
83,Itaim Bibi,Imóvel 83 em Moema,2931444,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
84,Itaim Bibi,Imóvel 84 em Jardins,2376798,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
85,Itaim Bibi,Imóvel 85 em Itaim Bibi,2756394,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
86,Pinheiros,Imóvel 86 em Jardins,967186,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
87,Vila Mariana,Imóvel 87 em Vila Mariana,2525236,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
88,Itaim Bibi,Imóvel 88 em Vila Mariana,1036049,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
89,Vila Mariana,Imóvel 89 em Jardins,868070,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
90,Moema,Imóvel 90 em Pinheiros,2378495,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
91,Pinheiros,Imóvel 91 em Jardins,2762470,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
92,Pinheiros,Imóvel 92 em Itaim Bibi,563349,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
93,Itaim Bibi,Imóvel 93 em Itaim Bibi,2382209,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
94,Moema,Imóvel 94 em Pinheiros,2700527,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
95,Itaim Bibi,Imóvel 95 em Vila Mariana,411390,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
96,Jardins,Imóvel 96 em Itaim Bibi,1608351,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
97,Moema,Imóvel 97 em Jardins,1425181,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
98,Moema,Imóvel 98 em Moema,2497965,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
99,Pinheiros,Imóvel 99 em Moema,2974797,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
100,Itaim Bibi,Imóvel 100 em Pinheiros,2762771,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
101,Moema,Imóvel 101 em Moema,2429817,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
102,Jardins,Imóvel 102 em Pinheiros,1747110,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
103,Pinheiros,Imóvel 103 em Jardins,1898666,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
104,Itaim Bibi,Imóvel 104 em Moema,1534222,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
105,Vila Mariana,Imóvel 105 em Vila Mariana,2309801,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
106,Moema,Imóvel 106 em Itaim Bibi,768319,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
107,Itaim Bibi,Imóvel 107 em Pinheiros,1682421,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
108,Jardins,Imóvel 108 em Jardins,683319,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
109,Pinheiros,Imóvel 109 em Jardins,360867,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
110,Pinheiros,Imóvel 110 em Jardins,2578120,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
111,Itaim Bibi,Imóvel 111 em Jardins,1156026,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
112,Pinheiros,Imóvel 112 em Itaim Bibi,2992618,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
113,Jardins,Imóvel 113 em Jardins,1751586,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
114,Itaim Bibi,Imóvel 114 em Itaim Bibi,1086948,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
115,Pinheiros,Imóvel 115 em Jardins,2454762,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
116,Pinheiros,Imóvel 116 em Moema,1140223,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
117,Vila Mariana,Imóvel 117 em Pinheiros,333281,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
118,Moema,Imóvel 118 em Vila Mariana,2184955,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
119,Vila Mariana,Imóvel 119 em Moema,2475176,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
120,Vila Mariana,Imóvel 120 em Moema,2636304,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
121,Pinheiros,Imóvel 121 em Itaim Bibi,485043,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
122,Pinheiros,Imóvel 122 em Jardins,1669183,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
123,Jardins,Imóvel 123 em Jardins,684118,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
124,Itaim Bibi,Imóvel 124 em Pinheiros,945389,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
125,Jardins,Imóvel 125 em Pinheiros,1185409,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
126,Itaim Bibi,Imóvel 126 em Itaim Bibi,1179548,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
127,Jardins,Imóvel 127 em Jardins,1342035,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
128,Itaim Bibi,Imóvel 128 em Moema,2784185,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
129,Moema,Imóvel 129 em Moema,1138638,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
130,Jardins,Imóvel 130 em Pinheiros,1017937,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
131,Vila Mariana,Imóvel 131 em Moema,2953982,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
132,Pinheiros,Imóvel 132 em Pinheiros,1006649,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
133,Pinheiros,Imóvel 133 em Itaim Bibi,417257,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
134,Vila Mariana,Imóvel 134 em Vila Mariana,1548076,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
135,Itaim Bibi,Imóvel 135 em Jardins,1631340,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
136,Moema,Imóvel 136 em Jardins,1483083,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
137,Moema,Imóvel 137 em Itaim Bibi,430335,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
138,Pinheiros,Imóvel 138 em Pinheiros,1781126,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
139,Itaim Bibi,Imóvel 139 em Jardins,2680889,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
140,Pinheiros,Imóvel 140 em Jardins,908587,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
141,Vila Mariana,Imóvel 141 em Jardins,470969,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
142,Vila Mariana,Imóvel 142 em Itaim Bibi,1886487,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
143,Pinheiros,Imóvel 143 em Vila Mariana,1579881,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
144,Itaim Bibi,Imóvel 144 em Pinheiros,1671479,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
145,Jardins,Imóvel 145 em Vila Mariana,1758208,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
146,Pinheiros,Imóvel 146 em Itaim Bibi,2867212,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
147,Itaim Bibi,Imóvel 147 em Vila Mariana,747506,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
148,Jardins,Imóvel 148 em Pinheiros,2510996,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
149,Vila Mariana,Imóvel 149 em Pinheiros,2424949,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
150,Jardins,Imóvel 150 em Vila Mariana,1435798,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
151,Jardins,Imóvel 151 em Moema,322115,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
152,Pinheiros,Imóvel 152 em Jardins,2680808,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
153,Vila Mariana,Imóvel 153 em Jardins,317636,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
154,Pinheiros,Imóvel 154 em Itaim Bibi,1640151,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
155,Moema,Imóvel 155 em Pinheiros,2972226,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
156,Moema,Imóvel 156 em Pinheiros,1000729,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
157,Jardins,Imóvel 157 em Vila Mariana,1129088,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
158,Itaim Bibi,Imóvel 158 em Moema,2196161,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
159,Itaim Bibi,Imóvel 159 em Pinheiros,1982993,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
160,Moema,Imóvel 160 em Jardins,2034171,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
161,Moema,Imóvel 161 em Pinheiros,2262767,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
162,Vila Mariana,Imóvel 162 em Vila Mariana,1464166,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
163,Itaim Bibi,Imóvel 163 em Itaim Bibi,2623600,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
164,Moema,Imóvel 164 em Moema,2058867,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
165,Jardins,Imóvel 165 em Jardins,2414659,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
166,Moema,Imóvel 166 em Pinheiros,1144062,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
167,Pinheiros,Imóvel 167 em Moema,2515051,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
168,Moema,Imóvel 168 em Jardins,345412,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
169,Pinheiros,Imóvel 169 em Vila Mariana,880169,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
170,Vila Mariana,Imóvel 170 em Moema,2290993,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
171,Itaim Bibi,Imóvel 171 em Itaim Bibi,2449768,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
172,Jardins,Imóvel 172 em Jardins,1512817,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
173,Pinheiros,Imóvel 173 em Vila Mariana,593691,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
174,Jardins,Imóvel 174 em Pinheiros,2746177,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
175,Itaim Bibi,Imóvel 175 em Moema,764657,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
176,Itaim Bibi,Imóvel 176 em Jardins,1427712,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
177,Jardins,Imóvel 177 em Itaim Bibi,2099917,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
178,Pinheiros,Imóvel 178 em Vila Mariana,2048855,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
179,Moema,Imóvel 179 em Moema,620798,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
180,Pinheiros,Imóvel 180 em Itaim Bibi,1211116,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
181,Jardins,Imóvel 181 em Itaim Bibi,694924,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
182,Vila Mariana,Imóvel 182 em Pinheiros,724700,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
183,Moema,Imóvel 183 em Vila Mariana,1571106,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
184,Vila Mariana,Imóvel 184 em Moema,2526892,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
185,Moema,Imóvel 185 em Pinheiros,1247339,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
186,Pinheiros,Imóvel 186 em Moema,2835870,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
187,Vila Mariana,Imóvel 187 em Jardins,2425793,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
188,Itaim Bibi,Imóvel 188 em Jardins,1478186,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
189,Jardins,Imóvel 189 em Vila Mariana,978144,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
190,Vila Mariana,Imóvel 190 em Pinheiros,2209935,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
191,Itaim Bibi,Imóvel 191 em Pinheiros,1810468,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
192,Vila Mariana,Imóvel 192 em Jardins,1868800,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
193,Jardins,Imóvel 193 em Moema,611863,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
194,Moema,Imóvel 194 em Jardins,356215,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
195,Itaim Bibi,Imóvel 195 em Vila Mariana,1006206,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
196,Jardins,Imóvel 196 em Itaim Bibi,1740708,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
197,Itaim Bibi,Imóvel 197 em Vila Mariana,1925564,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
198,Jardins,Imóvel 198 em Jardins,629973,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
199,Jardins,Imóvel 199 em Pinheiros,544959,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
200,Pinheiros,Imóvel 200 em Vila Mariana,1526354,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
201,Pinheiros,Imóvel 201 em Jardins,411450,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
202,Jardins,Imóvel 202 em Moema,1686999,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
203,Vila Mariana,Imóvel 203 em Itaim Bibi,1545803,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
204,Jardins,Imóvel 204 em Jardins,2794638,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
205,Pinheiros,Imóvel 205 em Vila Mariana,2274371,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
206,Jardins,Imóvel 206 em Moema,1314836,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
207,Moema,Imóvel 207 em Pinheiros,442314,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
208,Jardins,Imóvel 208 em Itaim Bibi,1246636,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
209,Vila Mariana,Imóvel 209 em Moema,613227,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
210,Jardins,Imóvel 210 em Itaim Bibi,1650174,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
211,Vila Mariana,Imóvel 211 em Itaim Bibi,2755324,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
212,Jardins,Imóvel 212 em Vila Mariana,2580897,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
213,Pinheiros,Imóvel 213 em Pinheiros,2778288,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
214,Pinheiros,Imóvel 214 em Itaim Bibi,1220592,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
215,Vila Mariana,Imóvel 215 em Vila Mariana,2775648,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
216,Jardins,Imóvel 216 em Vila Mariana,841412,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
217,Jardins,Imóvel 217 em Itaim Bibi,2731511,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
218,Pinheiros,Imóvel 218 em Moema,1518834,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
219,Moema,Imóvel 219 em Pinheiros,1752740,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
220,Moema,Imóvel 220 em Pinheiros,1556444,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
221,Pinheiros,Imóvel 221 em Pinheiros,692183,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
222,Pinheiros,Imóvel 222 em Pinheiros,1118501,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
223,Itaim Bibi,Imóvel 223 em Vila Mariana,1752633,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
224,Itaim Bibi,Imóvel 224 em Moema,2428750,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
225,Moema,Imóvel 225 em Vila Mariana,1132207,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
226,Itaim Bibi,Imóvel 226 em Pinheiros,2433610,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
227,Vila Mariana,Imóvel 227 em Itaim Bibi,2551778,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
228,Itaim Bibi,Imóvel 228 em Moema,2863713,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
